Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Ghorasal Repowered CCPP:Unit-3 (GT,Natural Gas,CCGT,PP,BD,260,0.37,,0,0,0,2022,2022,,2047,23.7932,90.6242,,,
Ghorasal Repowered CCPP Unit-4,Natural Gas,CCGT,PP,BD,210,0.37,,0,0,0,2021,2021,,2046,23.7932,90.6242,,,
Ghorasal TPP Unit-5,Natural Gas,CCGT,PP,BD,210,0.37,,0,0,0,1999,2022,,2047,23.7932,90.6242,,,
Ghorasal 365 MW CCPP Unit-7,Natural Gas,CCGT,PP,BD,365,0.37,,0,0,0,2018,2018,,2043,23.7932,90.6242,,,
Ghorashal 108 MW PP (Regent),Natural Gas,CCGT,PP,BD,108,0.37,,0,0,0,2015,2015,,2040,23.7932,90.6242,,,
Haripur GTPP,Natural Gas,CCGT,PP,BD,32,0.37,,0,0,0,2010,2010,,2035,23.6222,90.5106,,,
Haripur  412 MW CCPP,Natural Gas,CCGT,PP,BD,412,0.37,,0,0,0,2013,2013,,2038,23.6222,90.5106,,,
Haripur 360 MW CCPP(HPL),Natural Gas,CCGT,PP,BD,360,0.37,,0,0,0,2015,2015,,2040,23.6222,90.5106,,,
Meghnaghat 450 MW CCPP(MPL),Natural Gas,CCGT,PP,BD,450,0.37,,0,0,0,2022,2022,,2047,23.5648,90.5405,,,
Meghnaghat 100 MW(IEL),Oil,Steam Turbine,PP,BD,100,0.35,,0,0,0,2013,2013,,2033,23.5648,90.5405,,,
Meghnaghat CCPP(Summit),Natural Gas,CCGT,PP,BD,335,0.37,,0,0,0,2002,2015,,2040,23.5648,90.5405,,,
Madanganj 102 PP(Summit),Oil,Steam Turbine,PP,BD,102,0.35,,0,0,0,2014,2014,,2034,23.6431,90.5215,,,
Madanganj-55 MW PP(Summit),Oil,Steam Turbine,PP,BD,55,0.35,,0,0,0,2015,2015,,2035,23.6431,90.5215,,,
Keraniganj 100 MW PP (Powerpac),Oil,Steam Turbine,PP,BD,100,0.35,,0,0,0,2012,2012,,2032,23.7285,90.3852,,,
Narshingdi 22 MW PP  (Doreen),Natural Gas,CCGT,PP,BD,22,0.37,,0,0,0,2008,2023,,2048,23.9167,90.717,,,
210 MW Siddhirgonj TPP,Natural Gas,CCGT,PP,BD,210,0.37,,0,0,0,2015,2015,,2040,23.7086,90.525,,,
Siddhirgonj 2*120 MW GTPP ,Natural Gas,CCGT,PP,BD,210,0.37,,0,0,0,2015,2015,,2040,23.7086,90.525,,,
Siddhirganj 100 PP(Dutch Bangla),Oil,Steam Turbine,PP,BD,100,0.35,,0,0,0,2022,2022,,2042,23.7086,90.525,,,
Siddhirganj 335 MW CCPP,Natural Gas,CCGT,PP,BD,335,0.37,,0,0,0,2012,2012,,2037,23.7086,90.525,,,
Gagnagar 102 MW PP (Digital Power),Oil,Steam Turbine,PP,BD,102,0.35,,0,0,0,2014,2014,,2034,23.7865,90.4125,,,
Katpotti 52 MW PP (Sinha),Oil,Steam Turbine,PP,BD,51,0.35,,0,0,0,2015,2015,,2035,23.7852,90.4036,,,
Kamalaghat 54 MW PP(Banco Energy),Oil,Steam Turbine,PP,BD,54,0.35,,0,0,0,2018,2024,,2044,23.7257,90.4136,,,
Kodda 150 MW PP,Oil,Steam Turbine,PP,BD,149,0.35,,0,0,0,2015,2024,,2044,23.8708,90.268,,,
Manikganj 55 MW PP (Northern),Oil,Steam Turbine,PP,BD,55,0.35,,0,0,0,2016,2016,,2036,23.85,90.0167,,,
Nababganj 55 MW PP (Southern power ),Oil,Steam Turbine,PP,BD,55,0.35,,0,0,0,2016,2016,,2036,23.7458,90.3755,,,
Bosila 108 MW PP(CLC),Oil,Steam Turbine,PP,BD,108,0.35,,0,0,0,2017,2017,,2037,23.727,90.3717,,,
"Summit Power,(Madhabdi+Ashulia)",Natural Gas,CCGT,PP,BD,80,0.37,,0,0,0,2003,2023,,2048,23.8785,90.3273,,,
Maona 33 MW PP(Summit),Natural Gas,CCGT,PP,BD,33,0.37,,0,0,0,2009,2009,,2034,24.101,90.412,,,
Rupganj 33 MW PP(Summit) ,Natural Gas,CCGT,PP,BD,33,0.37,,0,0,0,2009,2009,,2034,23.7905,90.5695,,,
Gazipur 52 MW PP,Oil,Steam Turbine,PP,BD,52,0.35,,0,0,0,2012,2012,,2032,23.9505,90.4006,,,
Tongi 80 MW GTPP,Natural Gas,CCGT,PP,BD,105,0.37,,0,0,0,2005,2005,,2030,23.8908,90.4027,,,
Kodda 300 MW PP Unit-2 (Summit) ,Oil,Steam Turbine,PP,BD,300,0.35,,0,0,0,2018,2018,,2038,23.8538,90.2561,,,
Kodda 149 MW PP Unit-1 (Summit) ,Oil,Steam Turbine,PP,BD,149,0.35,,0,0,0,2018,2018,,2038,23.8538,90.2561,,,
Gazipur 100 MW PP,Oil,Steam Turbine,PP,BD,105,0.35,,0,0,0,2018,2018,,2038,23.9505,90.4006,,,
Meghnaghat 104 MW PP (OPCL),Oil,Steam Turbine,PP,BD,104,0.35,,0,0,0,2020,2020,,2040,23.5648,90.5405,,,
Manikgonj 162MW PP(MPGL),Oil,Steam Turbine,PP,BD,162,0.35,,0,0,0,2020,2020,,2040,23.85,90.0167,,,
Spectra Solar Plant Ltd.,Solar,Pv,PP,BD,35,0.25,,0,0,0,2021,2021,,2041,23.85,89.95,,,
Kanchan Purbachal Power Generation  Ltd.,Oil,Steam Turbine,PP,BD,55,0.35,,0,0,0,2021,2021,,2041,23.868,90.543,,,
Meghnaghat Unique power,Natural Gas,CCGT,PP,BD,584,0.37,,0,0,0,2023,2023,,2048,23.5648,90.5405,,,
Chattogram TPP-1 ,Natural Gas,CCGT,PP,BD,210,0.37,,0,0,0,2018,2018,,2043,22.3569,91.7832,,,
Chattogram TPP-2,Natural Gas,CCGT,PP,BD,210,0.37,,0,0,0,2018,2018,,2043,22.3569,91.7832,,,
Raozan 25 MW PP,Oil,Steam Turbine,PP,BD,25,0.35,,0,0,0,2013,2013,,2033,22.5237,91.9075,,,
Teknaf  20MW PP (Solartech),Solar,Pv,PP,BD,20,0.25,,0,0,0,2018,2018,,2038,20.8637,92.3017,,,
Patenga 50MW PP (Baraka),Oil,Steam Turbine,PP,BD,50,0.35,,0,0,0,2014,2014,,2034,22.2761,91.7953,,,
"Karnaphuli Hydro PP Unit-1,2,3,4, 5",Hydro,Reservoir,PP,BD,230,0.9,,0,0,0,1962,1962,,2022,22.4745,92.2861,,,
Sikalbaha 225MW CCPP,GAS/Oil,Steam Turbine,PP,BD,225,0.35,,0,0,0,2017,2017,,2037,22.3091,91.8902,,,
Sikalbaha Peaking GT,GAS/Oil,Steam Turbine,PP,BD,150,0.35,,0,0,0,2009,2009,,2029,22.3091,91.8902,,,
Sikalbaha 105 MW PP (Baraka Sikalbaha),Oil,Steam Turbine,PP,BD,105,0.35,,0,0,0,2019,2019,,2039,22.3091,91.8902,,,
Hathazari 100 MW peaking PP,Oil,Steam Turbine,PP,BD,98,0.35,,0,0,0,2011,2011,,2031,22.5559,91.7963,,,
Dohazari -Kalaish 100 MW Peaking,Oil,Steam Turbine,PP,BD,102,0.35,,0,0,0,2011,2011,,2031,22.063,92.0078,,,
Juldah 100 MW Unit-1 (Acorn),Oil,Steam Turbine,PP,BD,100,0.35,,0,0,0,2012,2012,,2032,22.232,91.7869,,,
Juldah 100 MW PP Unit-3 (Acorn),Oil,Steam Turbine,PP,BD,100,0.35,,0,0,0,2018,2018,,2038,22.232,91.7869,,,
Barabkunda  22 MW PP (Regent),Natural Gas,CCGT,PP,BD,22,0.37,,0,0,0,2009,2009,,2034,22.4519,91.7831,,,
Kaptai 7 MW  Solar PP,Solar,Pv,PP,BD,7,0.25,,0,0,0,2019,2019,,2039,22.4978,92.2263,,,
Anwara 300 MW PP (United),Oil,Steam Turbine,PP,BD,300,0.35,,0,0,0,2019,2019,,2039,22.2382,91.8166,,,
Jodiac Power,Oil,Steam Turbine,PP,BD,54,0.35,,0,0,0,2019,2019,,2039,23.7443,90.3762,,,
Karnaphuli Power Ltd.,Oil,Steam Turbine,PP,BD,110,0.35,,0,0,0,2014,2018,,2038,22.2775,91.7972,,,
Juldah unit-2 (Acorn),Oil,Steam Turbine,PP,BD,100,0.35,,0,0,0,2020,2020,,2040,22.232,91.7869,,,
Anlima Energy Ltd.,Oil,Steam Turbine,PP,BD,116,0.35,,0,0,0,2020,2020,,2040,23.868,90.268,,,
Mirsharai 150 MW,Oil,Steam Turbine,PP,BD,163,0.35,,0,0,0,2020,2020,,2040,22.7768,91.5613,,,
SS Power I,Hard Coal,Steam Turbine,PP,BD,1224,0.39,,0,0,0,2024,2024,,2059,22.4667,91.6917,,,
Matarbari 2*600 MW (CPGCL),Hard Coal,Steam Turbine,PP,BD,575,0.39,,0,0,0,2023,2023,,2058,21.7817,91.8827,,,
Ashuganj 225 MW  CCPP ,Natural Gas,CCGT,PP,BD,221,0.37,,0,0,0,2015,2015,,2040,24.0252,91.0051,,,
Ashuganj 450 MW CCPP(North),Natural Gas,CCGT,PP,BD,360,0.37,,0,0,0,2016,2016,,2041,24.0252,91.0051,,,
Ashuganj 450 MW CCPP(South),Natural Gas,CCGT,PP,BD,360,0.37,,0,0,0,2017,2017,,2042,24.0252,91.0051,,,
Ashuganj 420 MW CCPP(East),Natural Gas,CCGT,PP,BD,400,0.37,,0,0,0,2018,2018,,2043,24.0252,91.0051,,,
Ashuganj 50 MW PP ,Natural Gas,CCGT,PP,BD,53,0.37,,0,0,0,2013,2013,,2038,24.0252,91.0051,,,
Ashuganj 55 MW PP  (Precision) ,Natural Gas,CCGT,PP,BD,55,0.37,,0,0,0,2017,2017,,2042,24.0252,91.0051,,,
Ashuganj 195 MW PP (APSCL-United) ,Natural Gas,CCGT,PP,BD,195,0.37,,0,0,0,2018,2018,,2043,24.0252,91.0051,,,
Ashuganj  51 MW PP (Midland),Natural Gas,CCGT,PP,BD,51,0.37,,0,0,0,2015,2015,,2040,24.0252,91.0051,,,
Ashuganj 150 MW PP (Midland),Oil,Steam Turbine,PP,BD,150,0.35,,0,0,0,2016,2016,,2036,24.0252,91.0051,,,
Titas 50 MW Peaking PP,Oil,Steam Turbine,PP,BD,52,0.35,,0,0,0,2011,2011,,2031,23.9344,90.6385,,,
Chandpur 150 MW CCPP,Natural Gas,CCGT,PP,BD,163,0.37,,0,0,0,2012,2012,,2037,23.2333,90.6714,,,
Chandpur 200 MW (Desh energy),Oil,Steam Turbine,PP,BD,200,0.35,,0,0,0,2018,2018,,2038,23.2333,90.6714,,,
Feni 11 MW PP  (Doreen),Natural Gas,CCGT,PP,BD,11,0.37,,0,0,0,2009,2009,,2034,23.0159,91.3976,,,
Jangalia 33 MW PP (Summit) ,Natural Gas,CCGT,PP,BD,33,0.37,,0,0,0,2009,2009,,2034,24.2007,90.4943,,,
Jangalia 52 MW PP (Lakdanavi),Oil,Steam Turbine,PP,BD,52,0.35,,0,0,0,2009,2009,,2029,24.2007,90.4943,,,
Cumilla 25 MW PP (Summit),Natural Gas,CCGT,PP,BD,25,0.37,,0,0,0,2021,2021,,2046,23.4571,91.1809,,,
Feni Lanka Power,Oil,Steam Turbine,PP,BD,114,0.35,,0,0,0,2017,2017,,2037,23.0159,91.3976,,,
Chowmuhani 113 MW,Oil,Steam Turbine,PP,BD,113,0.35,,0,0,0,2019,2019,,2039,23.0175,91.408,,,
Bhairob 54.5 MW,Oil,Steam Turbine,PP,BD,54,0.35,,0,0,0,2021,2021,,2041,24.0525,90.9743,,,
Chandpur 115(Doreen) ,Oil,Steam Turbine,PP,BD,115,0.35,,0,0,0,2022,2022,,2042,23.2333,90.6714,,,
RPCL 210MW CCPP,Natural Gas,CCGT,PP,BD,210,0.37,,0,0,0,2007,2007,,2032,23.458,91.181,,,
Jamalpur 95 MW PP(Powerpac),Oil,Steam Turbine,PP,BD,95,0.35,,0,0,0,2020,2020,,2040,24.9272,89.9482,,,
Sarishabari 3 MW Solar Plant,Solar,Pv,PP,BD,3,0.25,,0,0,0,2017,2017,,2037,24.7333,89.8333,,,
 Mymensingh 200 MW PP (United),Oil,Steam Turbine,PP,BD,200,0.35,,0,0,0,2018,2018,,2038,24.754,90.3984,,,
Jamalpur 115 MW PP (United),Oil,Steam Turbine,PP,BD,115,0.35,,0,0,0,2019,2019,,2039,24.9272,89.9482,,,
Sutiakhali 50 MW Solar PP,Solar,Pv,PP,BD,50,0.25,,0,0,0,2020,2020,,2040,24.754,90.3984,,,
Tangail Palli Power Gen 22 MW,Oil,Steam Turbine,PP,BD,22,0.35,,0,0,0,2008,2020,,2040,24.2499,89.9163,,,
Fenchugonj CCPP Phase-1,Natural Gas,CCGT,PP,BD,97,0.37,,0,0,0,1995,1995,,2020,24.6803,91.916,,,
Fenchugonj CCPP Phase-2,Natural Gas,CCGT,PP,BD,104,0.37,,0,0,0,2011,2011,,2036,24.6803,91.916,,,
Kushiara 163 MW CCPP (KP),Natural Gas,CCGT,PP,BD,163,0.37,,0,0,0,2018,2018,,2043,24.6762,91.9012,,,
Shajibazar 330 MW CCPP,Natural Gas,CCGT,PP,BD,330,0.37,,0,0,0,2019,2019,,2044,24.1848,91.0074,,,
Fenchugonj 51 MW PP  (Barakatullah) ,Natural Gas,CCGT,PP,BD,51,0.37,,0,0,0,2009,2009,,2034,24.6803,91.916,,,
Fenchuganj  44 MW (Energyprima),Natural Gas,CCGT,PP,BD,50,0.37,,0,0,0,2015,2015,,2040,24.6803,91.916,,,
Hobiganj  11 MW PP Cofidence-E,Natural Gas,CCGT,PP,BD,11,0.37,,0,0,0,2009,2009,,2034,24.4465,91.4171,,,
Shahjibazar GTPP Unit- 8 & 9 ,Natural Gas,CCGT,PP,BD,70,0.37,,0,0,0,2018,2018,,2043,24.1848,91.0074,,,
Shahjibazar 86 MW PP (Shahjibazar),Natural Gas,CCGT,PP,BD,86,0.37,,0,0,0,2017,2017,,2042,24.1848,91.0074,,,
Shahjibazar 100 MW GTPP,Natural Gas,CCGT,PP,BD,100,0.37,,0,0,0,2009,2009,,2034,24.1848,91.0074,,,
Sylhet 225 MW CCPP,Natural Gas,CCGT,PP,BD,231,0.37,,0,0,0,2020,2020,,2045,24.8918,91.8833,,,
Sylhet  20 MW GTPP,Natural Gas,CCGT,PP,BD,20,0.37,,0,0,0,2014,2014,,2039,24.8918,91.8833,,,
Shahjahanulla 25 MW PP,Natural Gas,CCGT,PP,BD,25,0.37,,0,0,0,2017,2017,,2042,24.6712,91.4077,,,
Bibiana-II 341 MW CCPP (Summit),Natural Gas,CCGT,PP,BD,341,0.37,,0,0,0,2015,2015,,2040,24.6755,91.4661,,,
Bibiyana-III  400 MW CCPP,Natural Gas,CCGT,PP,BD,400,0.37,,0,0,0,2019,2019,,2044,24.6755,91.4661,,,
Sylhet 10MW PP (Desh)  ,Natural Gas,CCGT,PP,BD,10,0.37,,0,0,0,2009,2009,,2034,24.8918,91.8833,,,
Bibiyana South 400 MW,Natural Gas,CCGT,PP,BD,383,0.37,,0,0,0,2021,2021,,2046,24.6755,91.4661,,,
Bheramara GTPP Unit-3,Oil,Steam Turbine,PP,BD,20,0.35,,0,0,0,2013,2013,,2033,24.0296,88.9926,,,
Khulna 115 PP MW (KPCL-2),Oil,Steam Turbine,PP,BD,115,0.35,,0,0,0,2022,2022,,2042,22.8456,89.5403,,,
Faridpur 50 MW Peaking PP,Oil,Steam Turbine,PP,BD,54,0.35,,0,0,0,2011,2011,,2031,23.607,89.8365,,,
Khulna  225 MW CCPP,Oil,Steam Turbine,PP,BD,230,0.35,,0,0,0,2016,2016,,2036,22.8456,89.5403,,,
Gopalganj 100 MW Peaking PP,Oil,Steam Turbine,PP,BD,109,0.35,,0,0,0,2011,2011,,2031,23.0058,89.8266,,,
Bheramara 410 MW CCPP,Natural Gas,CCGT,PP,BD,410,0.37,,0,0,0,2017,2017,,2042,24.0296,88.9926,,,
Noapara 40 MW PP (Khanjahan Ali),Oil,Steam Turbine,PP,BD,40,0.35,,0,0,0,2010,2010,,2030,23.0961,89.6009,,,
Rupsha 105 MW PP (Orion rupsha),Oil,Steam Turbine,PP,BD,105,0.35,,0,0,0,2018,2018,,2038,22.8456,89.5403,,,
Madhumati 100 MW PP,Oil,Steam Turbine,PP,BD,105,0.35,,0,0,0,2018,2018,,2038,23.107,89.502,,,
